Bird, MEX, ac7ac880-277c-464a-b701-1e8ec284409c, 65, 9018, No update data, 9g3qx2sh0qgu
Bird, MEX, 5e9e163f-531a-42a2-96eb-1d041cb6ec0f, 97, 14362, No update data, 9g3qx2eurkz1
Bird, MEX, 8a1405a7-96e7-4a71-a00e-f0dbea6efc5b, 51, 6320, No update data, 9g3qx2sdyprm
Bird, MEX, dca09cef-cf34-4fb2-b996-d842b8e83b8e, 97, 14362, No update data, 9g3qx2euq6s7
Bird, MEX, 9dda4ba8-6888-4886-ba37-7b7dd3a9a36b, 63, 8684, No update data, 9g3qx2sjz1hp
Bird, MEX, 1ca4d55b-7216-4b45-ab1c-1492a0701a2e, 98, 14529, No update data, 9g3qx2euw1z2
Bird, MEX, 15d3af48-27d8-4efb-8611-c0793111630e, 97, 13588, No update data, 9g3qx2smcgnf
Bird, MEX, 3068356b-477d-492b-a0bc-b41af7d595da, 97, 14362, No update data, 9g3qx2euyedw
Bird, MEX, d584fcd2-bc82-46d9-9e62-ff5b6a9f7c3a, 82, 11857, No update data, 9g3qx2krjr4y
Bird, MEX, 2c18de1b-a07b-4bca-b155-389a9637f6d1, 79, 10744, No update data, 9g3qx2sq0cgv
Bird, MEX, 4a97e828-c79c-4e30-888d-95cf34352c27, 25, 2338, No update data, 9g3qx2eut5kd
Bird, MEX, cc7b59e8-11b8-4f74-a225-7b9a5b98d978, 100, 14062, No update data, 9g3qx2evn5z3
Bird, MEX, 103d3e7a-2550-4534-9eee-aeb7c8473e00, 21, 1670, No update data, 9g3qx2snj74v
Bird, MEX, 75d857c7-321b-4a91-8aaa-13d402bc0160, 83, 11376, No update data, 9g3qx2evjukm
Bird, MEX, 7b68ff00-f64a-46ea-9d30-596f3ed3770a, 100, 14062, No update data, 9g3qx2eu74q9
Bird, MEX, 0531e298-8d5f-47d9-b496-99d7fe665e9a, 100, 14062, No update data, 9g3qx2egb08e
Bird, MEX, d5c6bbb1-7b56-493b-a2e8-e000f096d38a, 100, 14062, No update data, 9g3qx2eu9h60
Bird, MEX, 4521d046-9833-459e-8b52-5f7c13afcc7d, 99, 13904, No update data, 9g3qx2eu25ve
Bird, MEX, 0472c62d-66de-49a6-8e07-cc7d00f6eef2, 76, 10270, No update data, 9g3qx2kq1f0x
Bird, MEX, c46a5db9-e572-4f78-a8c6-034d7a81d5fd, 100, 14062, No update data, 9g3qx2evdjg9
Bird, MEX, d964fcfa-6bc4-46a1-852a-ae21f9605e64, 88, 12166, No update data, 9g3qx2tjbbeg
Bird, MEX, 4316d66d-6de0-44a8-9da3-5703cb0ac7e8, 71, 10020, No update data, 9g3qx2syrv47
Bird, MEX, 2b677e56-493a-4567-bc7f-1b1428deeb5e, 100, 14062, No update data, 9g3qx2e3mtn5
Bird, MEX, 7c79ce4c-e6ae-4973-ba0e-be05a5a8a146, 91, 12640, No update data, 9g3qx2syzns0
Bird, MEX, 62cf0978-ecb0-4551-a460-3847a380882a, 19, 1336, No update data, 9g3qx2syzqx0
Bird, MEX, 8260420b-6323-4d6a-9b78-4ac0b58a5e85, 99, 14696, No update data, 9g3qx2e2gvkb
Bird, MEX, e70b8342-c721-49b4-8fc4-d3f12f55afcc, 100, 14062, No update data, 9g3qx2e3e3hs
Bird, MEX, 777ef17c-8f23-4999-a4fc-a87c85badfaf, 85, 11692, No update data, 9g3qx2thqdde
Bird, MEX, 7e0e4ebd-6cbb-4d5a-a88d-84177c830967, 94, 13114, No update data, 9g3qx2tnf8bj
Bird, MEX, fbfcf1a3-ce49-448f-b9e9-4b9716299879, 73, 10354, No update data, 9g3qx2tp5t3d
Bird, MEX, b1ff650c-6003-4fca-a3cc-7c57811323dc, 97, 13588, No update data, 9g3qx2tpejb3
Bird, MEX, d07d77aa-e6d3-434a-ac68-e9218effca81, 67, 8848, No update data, 9g3qx2gcf885
