Bird, PBC, 6e54d93d-8197-4d8f-9347-6d1342c419ef, 80, 11523, No update data, 9g6h7n4gp4uj
Bird, PBC, c7972ae7-bf69-4a82-b610-fbd7e9313832, 82, 11857, No update data, 9g6h7n4gp3rh
Bird, PBC, aee18a30-69db-46ee-9697-05cb4f13632e, 81, 11690, No update data, 9g6h7n4gpc46
Bird, PBC, 6e39c072-f398-45c4-b63b-e79befb6eb17, 81, 11690, No update data, 9g6h7n4fzr1n
Bird, PBC, d3e2fe89-7363-426f-b300-ab352df9367d, 88, 12859, No update data, 9g6h7n1800js
Bird, PBC, de2993fb-c1da-4cf6-b471-6f6a3e6d093b, 100, 14863, No update data, 9g6h7jf2nujv
Bird, PBC, 97069102-8afe-492e-ad6b-027099f0026c, 100, 14863, No update data, 9g6h7jdryvjb
Bird, PBC, 15ed7681-1426-4d26-a15e-16ad293c4f5f, 100, 14863, No update data, 9g6h7jdry5c0
Bird, PBC, 7715ad14-2e09-42e8-95cc-788eb13b76b1, 100, 14863, No update data, 9g6h7jdrtpkt
Bird, PBC, 407b819c-63f9-4941-b780-45353190df6e, 49, 6346, No update data, 9g6h7jk95exb
Bird, PBC, 2eb776f3-e8bc-4cdd-ae92-e38404612675, 100, 14863, No update data, 9g6h7jrpvnug
Bird, PBC, a4bd3af9-a334-4dd7-908b-83f4e573b3bc, 100, 14863, No update data, 9g6h7jq0rnsn
Bird, PBC, f2f38284-b6bc-477e-aecb-83d741078582, 100, 14863, No update data, 9g6h7jq0rfxm
Bird, PBC, 7a889905-5345-4608-8295-83ab8c14e60d, 100, 14863, No update data, 9g6h7jq2e5n9
Bird, PBC, a5286a54-9879-4cce-98e2-0e542ef32de1, 100, 14863, No update data, 9g6h7jq205jw
Bird, PBC, afc8067e-7b8b-4fbe-80dc-e1be52292709, 100, 14863, No update data, 9g6h7jnkwxrs
Bird, PBC, c9a4c41e-3504-44a3-a959-eff4ebe0eabc, 97, 14362, No update data, 9g6h7jnkwt4z
Bird, PBC, 07ba914f-4c0f-40ba-a297-6346a40be63f, 100, 14863, No update data, 9g6h7jnbbxbc
Bird, PBC, 213bb3bc-06fd-4df3-a679-36b2372b816f, 99, 14696, No update data, 9g6h7jnc17jq
Bird, PBC, 9726ef99-c1b4-4e8a-9798-b10b319f9790, 100, 14863, No update data, 9g6h7jnbbw8c
Bird, PBC, df58b661-2500-4416-8474-258dab80c6cb, 100, 14863, No update data, 9g6h7jnbbw0z
Bird, PBC, 1aa74363-d264-40bd-bf5b-c107e32d0ade, 88, 12859, No update data, 9g6h7jnc197d
Bird, PBC, ad6e9fc1-67e6-42d8-9548-60a591954805, 100, 14863, No update data, 9g6h7jnbbdpn
Bird, PBC, a42e6c87-dd39-4a14-9c3c-08fdb25e6b98, 100, 14863, No update data, 9g6h7jnbckm7
Bird, PBC, 38dd1ad4-fd54-40c3-af18-ff2b6f4edc71, 100, 14863, No update data, 9g6h7jnb95dm
Bird, PBC, 5608506e-c4e5-4462-ac4f-89c2f6632927, 98, 14529, No update data, 9g6h7hsrj36f
Bird, PBC, 74f95e3c-5ff6-41ae-959e-4c18f8088afc, 100, 14863, No update data, 9g6h7hsqwnps
Bird, PBC, f6df7fb5-56a8-44c4-a76a-4086d9f8f528, 100, 14863, No update data, 9g6h7hsw8er5
Bird, PBC, 6e2d6089-9385-494e-abcf-9f56bd8a7177, 97, 14362, No update data, 9g6h7kcjy41q
Bird, PBC, 90a42abe-2cea-4582-8cbd-f5cc355a856c, 88, 12859, No update data, 9g6h7kbcq01m
Bird, PBC, 052d2d9f-46c2-49d9-ab3d-5c410be1210f, 100, 14863, No update data, 9g6h7kc0eq5s
Bird, PBC, 5897572c-0d6c-4b97-9703-cef4c88e1c42, 100, 14863, No update data, 9g6h7kc0kpgm
Bird, PBC, 2310d033-f1ef-4d83-ade2-0c7693a60c8d, 100, 14863, No update data, 9g6h7kc0s283
Bird, PBC, 27f15815-07a0-406e-a2b6-11305679382e, 43, 5344, No update data, 9g6h7kcczfz9
Bird, PBC, b0b389dd-f2d6-440d-81ca-24477fe25732, 88, 12859, No update data, 9g6h7kf61jrk
Bird, PBC, 97d52b39-86c1-48d6-9637-e6c93073fdc8, 84, 12191, No update data, 9g6h7kf61gbf
