Bird, MEX, bdf73438-8d47-40fc-bf01-1bff6bb08fe7, 30, 3173, No update data, 9g3qx2sr825y
Bird, MEX, c6695cbe-498f-4f8a-bfa3-0024a49af7cd, 65, 8532, No update data, 9g3qx2ktdhge
Bird, MEX, 74fb3da7-2a60-4dd4-a258-364dc6ec5201, 28, 2839, No update data, 9g3qx2sp8d2u
Bird, MEX, b3dc4e2e-4894-4f5c-9e27-aa9902c9ae73, 72, 9638, No update data, 9g3qx2szq0c2
Bird, MEX, e64d2735-48a5-45c3-94dc-4c2ff1013e5f, 99, 13904, No update data, 9g3qx2e3khbu
Bird, MEX, e03d63ba-50fb-4640-a11f-2c5fe9d33c21, 100, 14863, No update data, 9g3qx2e39dew
Bird, MEX, d049f895-0d84-4774-a5e0-76a1647851c7, 100, 14863, No update data, 9g3qx2e3354p
Bird, MEX, a1ab70bf-909b-4481-aa8d-19d22b8353db, 100, 14062, No update data, 9g3qx2e38sbe
Bird, MEX, 939bbb67-69ae-4520-9472-a96d427c12ec, 100, 14062, No update data, 9g3qx2e30j8s
Bird, MEX, 76d3e90c-8802-45c6-97ca-785bd6a664e3, 80, 10902, No update data, 9g3qx27j4gg2
Bird, MEX, 84744d19-a411-45a2-a4ae-65bdbce13cfb, 87, 12008, No update data, 9g3qx27hc56h
Bird, MEX, 188ebf3c-c5fa-4b9e-b7b8-76ae35643940, 64, 8851, No update data, 9g3qx2tbpv42
Bird, MEX, 7ff18de2-31f8-4ddf-934e-182cbc1de2fc, 28, 2839, No update data, 9g3qx2jneq7t
Bird, MEX, c8cee864-ebce-41ea-acd4-099e55c3985a, 84, 11534, No update data, 9g3qx2ghc0d5
Bird, MEX, ed834a34-6369-4119-a64c-ff0b476198f9, 53, 6636, No update data, 9g3qx2y0syrt
Bird, MEX, 8d0b24af-ab94-4369-9390-7fa8d8dda44d, 75, 10112, No update data, 9g3qx3j66h5y
Bird, MEX, a9da0b4e-8bd9-4128-b5e3-8615e77b040c, 53, 7014, No update data, 9g3qx34cyqs2
Bird, MEX, f115d5d5-9064-4746-b6d0-f2ba275bf468, 92, 12798, No update data, 9g3qx34fnncj
Bird, MEX, 455f13cb-32a0-488b-8402-4c4e10e91ae8, 45, 5372, No update data, 9g3qx35s25vs
Bird, MEX, 3a48bae5-4a5c-4627-aca6-3bf534d27a56, 51, 6680, No update data, 9g3qx3j7q01k
Bird, MEX, f6ae4432-87b8-4d73-a516-a6e8fbb97ab3, 94, 13114, No update data, 9g3qx2fr6dth
Bird, MEX, 26bdfeb8-9f55-4c69-97c6-68501afe5085, 93, 12956, No update data, 9g3qx2fr9444
Bird, MEX, 2a457350-a766-4817-8789-df1ef30e966a, 61, 7900, No update data, 9g3qx2qvtsnp
Bird, MEX, c3f1218e-7d1f-4cf9-ac17-38d6e68a0c84, 87, 12008, No update data, 9g3qx341hkqj
Bird, MEX, ee0e4330-beb4-4c8e-b019-341083b73f2b, 67, 9352, No update data, 9g3qx341kbc2
Bird, MEX, 85c08534-d42f-4372-921e-8f780aca6702, 33, 3476, No update data, 9g3qx2z1tr6g
Bird, MEX, d49e6960-8798-495e-8201-98112c5ddf62, 72, 9638, No update data, 9g3qx34ygnw2
Bird, MEX, 1be1df4a-da00-4da9-b129-a01fadab33e0, 71, 10020, No update data, 9g3qx2c6gn80
Bird, MEX, 561a966b-d5de-4c55-947a-bace693eb1a6, 84, 11534, No update data, 9g3qx2r3cjf7
Bird, MEX, c662786d-854d-47c0-968a-b15b122a522f, 74, 9954, No update data, 9g3qx2xty8de
Bird, MEX, 949d8f03-5358-4cd0-8106-8da54671acf2, 100, 14062, No update data, 9g3qx3m7kbrx
Bird, MEX, cf99c71b-0836-4611-8b58-097a6931d8d1, 84, 11534, No update data, 9g3qx3kksqy2
Bird, MEX, 77b387e7-34e2-4361-b5b0-a6b3133f5033, 82, 11218, No update data, 9g3qx2pk3yyy
Bird, MEX, c91a6749-08ea-4725-95a1-c88f5990f84b, 61, 7900, No update data, 9g3qx2rve2gd
Bird, MEX, 76b33107-73be-4f8b-827b-bcd500e6c399, 56, 7515, No update data, 9g3qx2p7gwcc
Bird, MEX, 60e2f2df-cb62-4dcb-8f26-40e62e79a603, 92, 12798, No update data, 9g3qx3ms57g9
Bird, MEX, b72d47b9-59c5-454f-ac00-20664003473f, 46, 5845, No update data, 9g3qx2ryk3wm
Bird, MEX, 601d82b6-d04f-4d82-ac61-b36d93584c9d, 55, 7348, No update data, 9g3qx3nxzbr3
Bird, MEX, af48628c-766b-4a54-a1c1-aedd536da45c, 51, 6320, No update data, 9g3qx2b9mhht
Bird, MEX, 29b827a4-694c-42a2-9685-1461cbbfa3c1, 78, 10586, No update data, 9g3qx3msxs3y
Bird, MEX, c3e1e665-6178-4a21-ab4d-539424c11b44, 49, 6004, No update data, 9g3qx2b3552p
Bird, MEX, 52055cd7-f608-4be5-88c4-316b90b2d0f5, 43, 5056, No update data, 9g3qx22pk2nh
Bird, MEX, 42e21946-785d-4d5a-ab00-3714635ea3c6, 53, 6636, No update data, 9g3qx22pegsu
Bird, MEX, e044dca5-0d70-4eef-a0c5-5ee4314d5678, 72, 9638, No update data, 9g3qx82x6365
Bird, MEX, 96e69ef8-3fa3-4a9d-802d-66a2466af0d2, 72, 9638, No update data, 9g3qx3r61mvr
Bird, MEX, 52b767a2-7ed4-4ad7-940f-481e67ea07c2, 46, 5845, No update data, 9g3qx2bqb183
Bird, MEX, e5715162-b889-4ebe-81bf-9c6cc31732eb, 45, 5372, No update data, 9g3qrrdn2j0d
Bird, MEX, 256bc330-0080-4f09-a607-3a84f44f99bf, 87, 12008, No update data, 9g3qx3316xbj
Bird, MEX, cf338c3c-13c3-4a4d-9af6-207aba51ef75, 93, 12956, No update data, 9g3qrrwzj6py
Bird, MEX, 320381ba-5bfd-4feb-8df4-0df6e84ff3c8, 70, 9322, No update data, 9g3qrr9y50bn
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 64, 8374, No update data, 9g3qrrd7e83x
Bird, MEX, 0d7bd0bc-b745-49c8-84e9-7c6bb4e5499a, 96, 13430, No update data, 9g3qx3e5zhsj
Bird, MEX, e6f453ae-e896-4960-94b4-8d704cb7e810, 56, 7515, No update data, 9g3qx33ze7ux
Bird, MEX, 77e96044-a35d-4ba6-8e4f-8d6d15cdbbf2, 97, 13588, No update data, 9g3qx3ehp1k4
Bird, MEX, 159caea9-9890-4349-967b-e9a9acedd927, 58, 7849, No update data, 9g3qx202s3qj
Bird, MEX, 26187cd1-9b1d-4048-a8f2-e202479c8752, 94, 13114, No update data, 9g3qx3ehppu5
Bird, MEX, 6c549b73-9cf7-4f92-9b70-33dcb082f195, 75, 10112, No update data, 9g3qx3ehrcdr
Bird, MEX, 7a33a638-3bfb-4c91-86d5-3fde981c6c15, 43, 5056, No update data, 9g3qx88zjvgn
Bird, MEX, 1a1153b3-ccda-4f21-8f5d-78b11190e3ff, 45, 5678, No update data, 9g3qrr9tb828
Bird, MEX, 85c77e5d-7ca2-4acc-851f-01e834bf76a7, 46, 5530, No update data, 9g3qx0resqn5
Bird, MEX, d59b50aa-3d7b-460e-b0e0-095540a7e0de, 90, 12482, No update data, 9g3qx3ez4q3c
Bird, MEX, 8a073e6f-7697-4321-a14d-884b2d21e9e9, 48, 5846, No update data, 9g3qrxbrr5u5
Bird, MEX, e5da55e7-c68c-4983-82b6-f87460212221, 57, 7268, No update data, 9g3qrrw9uy1t
Bird, MEX, a814b4ad-478a-4e68-8ecd-0305224552f4, 75, 10688, No update data, 9g3qrr9d8x08
Bird, MEX, eb089722-b0a7-414a-8185-4144ea7263e0, 96, 13430, No update data, 9g3qx925f2xh
Bird, MEX, 52d9804f-be7b-4408-95c6-f5472fa27f4b, 67, 8848, No update data, 9g3qx837890u
Bird, MEX, 6b8c01a5-1265-43d0-93a0-619ea2a9959d, 66, 8690, No update data, 9g3qrr96m1st
Bird, MEX, 10cc64c2-a551-4a15-ab0b-56f0722cceb4, 97, 13588, No update data, 9g3qx92hkcxy
Bird, MEX, 7867c507-5041-4675-a9b1-bd50db64fb08, 29, 3006, No update data, 9g3qrr6tsc9r
Bird, MEX, 602f512f-30a2-4dd8-bf9a-80f233f1967e, 64, 8374, No update data, 9g3qx89rw59k
Bird, MEX, 4704be31-aaad-4f98-b85e-eadb679391b2, 40, 4582, No update data, 9g3qrr75df77
Bird, MEX, 2d8e803d-27e4-4d51-b2ee-7a081954ceac, 28, 2686, No update data, 9g3qrr9816vr
Bird, MEX, be4e4df7-29d3-4ea1-9a33-3914fa8bbfd3, 60, 8183, No update data, 9g3qx1p3ejy6
Bird, MEX, 6ebb5995-0ae1-4adc-a04f-aa527adaf017, 46, 5530, No update data, 9g3qrr8g5ny7
Bird, MEX, 97b2ff0a-ff49-46bc-9963-48bcd701be29, 73, 10354, No update data, 9g3qx0pn4dsb
Bird, MEX, a8b4e8fa-949a-44bb-a931-45aeeb79e9ab, 67, 9352, No update data, 9g3qx389t0ue
Bird, MEX, aa023eb9-ca95-4a71-8040-a6e426028bec, 51, 6680, No update data, 9g3qrrk8ddbn
Bird, MEX, aaff40ed-398a-426e-9f80-9120ff8ab765, 46, 5530, No update data, 9g3qx3fe45gd
Bird, MEX, d7b2d89f-ad12-48e4-a089-0e9bf1d9031d, 81, 11060, No update data, 9g3qrrhpwcjg
Bird, MEX, cf88cd23-8151-4311-a96b-121cac0c6c08, 63, 8216, No update data, 9g3qrr3sjghh
Bird, MEX, adf6fe80-3821-46ff-a65a-886991c1695c, 67, 8848, No update data, 9g3qrr63g1qr
Bird, MEX, 3583450c-8a32-4bd9-864b-fe415aea1999, 84, 11534, No update data, 9g3qrr3dy9f9
Bird, MEX, 46f58cb6-2ddd-48a0-8590-f6e0fdb5efbe, 35, 4008, No update data, 9g3qrr38ueh3
Bird, MEX, 05ef896c-b89e-4d70-90ff-8c0612a92f93, 80, 10902, No update data, 9g3qrr4tsg96
Bird, MEX, 16607339-3388-466d-a89a-6b0f83a27a34, 66, 8690, No update data, 9g3qx1rqehq2
Bird, MEX, ac32e0d5-ebfb-4721-b1cf-515c9240a074, 71, 9480, No update data, 9g3qrx9qtkg5
Bird, MEX, b488194e-e791-4595-87a2-4f12c9ef2f2a, 67, 9352, No update data, 9g3qrrhd4t85
Bird, MEX, a0d7e56b-e3fb-4e4b-8e9e-1d6077a08da3, 42, 4898, No update data, 9g3qrr1vc607
Bird, MEX, 608a257e-f160-4164-ae0e-c898d63721f6, 65, 8532, No update data, 9g3qrrj63fyu
Bird, MEX, 3c7f3825-9f15-44bf-b303-3ad49d87d60f, 69, 9164, No update data, 9g3qx0tepwm0
Bird, MEX, 30a9bd45-450f-4339-934e-e907cd7e21ef, 61, 7900, No update data, 9g3qx6578z7v
Bird, MEX, 9b66ca9f-0a6b-4bbf-b3bc-5b2c9887b96b, 70, 9322, No update data, 9g3qx94q7pbt
Bird, MEX, 05cb93ee-a049-4bc3-9fe5-a49e2a9ac031, 58, 7426, No update data, 9g3qx6n6m64c
Bird, MEX, 95fc6828-9275-4899-a948-ada81d37eb6f, 85, 11692, No update data, 9g3qrrphks7q
Bird, MEX, 94211a9f-a920-4856-aa48-abdd2934e899, 70, 9853, No update data, 9g3qx6p37659
Bird, MEX, e5bea980-ba2a-43f9-8354-3fa02349f39b, 44, 5214, No update data, 9g3qrqvqsvps
Bird, MEX, 5be8d2a6-e2c0-4cdf-bf0e-41e772bbabc2, 57, 7682, No update data, 9g3qx8e7ehq8
Bird, MEX, ac54d2f1-274e-486a-92b6-44a77d3c1ee3, 45, 5372, No update data, 9g3qx96b8vhn
Bird, MEX, ca1f835a-93b4-4075-a803-5b1c3d935b15, 48, 5846, No update data, 9g3qrpwb12th
Bird, MEX, f25d29dc-3a5a-456c-8c3b-4a250454c1ac, 89, 12324, No update data, 9g3qx96bcvqc
Bird, MEX, 6f8c24b5-2e6b-4f30-9a0b-9030a6d14fb7, 48, 5846, No update data, 9g3qrrpg2cun
Bird, MEX, a96ca4f5-e478-4aed-8205-7445d70462bf, 47, 5688, No update data, 9g3qx96c1v09
Bird, MEX, f1f8c7c7-4a09-4d38-ae07-66544791d521, 54, 6794, No update data, 9g3qx96beeyy
Bird, MEX, ff8ece41-76bf-4fa2-8c59-79a7430d6b40, 79, 10744, No update data, 9g3qrqyz2q7c
Bird, MEX, 3858dd7d-7b8e-4f3d-93ec-1566bad54f28, 39, 4676, No update data, 9g3qx8gkysrf
Bird, MEX, 1c05d050-24b8-4db8-ae5c-12d4629e481d, 48, 5846, No update data, 9g3qx1z7dv5p
Bird, MEX, 57e32f39-36b0-44be-ad84-a7829ed6bd7a, 74, 9954, No update data, 9g3qrqfj1f2r
Bird, MEX, eb57a2d6-5f3e-45b2-ac89-7bb5188200d3, 63, 8216, No update data, 9g3qrqg6dj7w
Bird, MEX, d283b21d-208c-4a41-99a9-85fcc286ae5f, 61, 8350, No update data, 9g3qx1j5gwx8
Bird, MEX, 33b56736-5887-4018-96fd-1270002bb787, 81, 11060, No update data, 9g3qrppseks8
Bird, MEX, 7548e5be-43ee-4563-a1c4-f3a2e07c363e, 53, 6636, No update data, 9g3qrqz5crj6
Bird, MEX, 786a3d22-b662-49c4-8780-a19f1d60f108, 73, 9796, No update data, 9g3qrqv9n8ft
Bird, MEX, db57d417-3a60-4537-8914-dc7dc507b318, 90, 12482, No update data, 9g3qrqcdwg8f
Bird, MEX, e766c058-50b1-4d2c-8d40-c498d16ec2ae, 79, 10744, No update data, 9g3qrx0fvbg5
Bird, MEX, dfeea5b2-8d1c-4598-9452-1d0634b0ae93, 62, 8058, No update data, 9g3qrx0cybtc
Bird, MEX, ff5a2790-8921-47b2-96fb-8987b3f032a0, 66, 8690, No update data, 9g3qrx0crm11
Bird, MEX, 5bc4f95e-f327-49c1-9afb-afd46c109227, 60, 8183, No update data, 9g3qx0kjex37
Bird, MEX, 907e69f0-82d5-4216-bce1-c8a0fb9a5866, 79, 10744, No update data, 9g3qrpp2prz0
Bird, MEX, 5fb8d625-c798-45fe-899a-7ab047d189bc, 49, 6004, No update data, 9g3qrwbkz2pr
Bird, MEX, 16fd1512-4a6d-4660-b8b9-c218d7626222, 58, 7849, No update data, 9g3qrqe5gezy
Bird, MEX, 2b582ac9-1639-4724-b710-8609b44b991a, 47, 6012, No update data, 9g3qrq9pqu2v
Bird, MEX, c9d3d198-c85b-431a-8e61-d5cfd42a0214, 48, 5846, No update data, 9g3qx0eb7txx
Bird, MEX, b059d456-c51b-423e-8d52-e20184ede2a6, 45, 5372, No update data, 9g3qrwcnygtv
Bird, MEX, 463e7cd3-adfc-484b-a176-edf88a29f41f, 43, 5056, No update data, 9g3qrwcnqhxx
Bird, MEX, b60d6668-80e3-47ba-91e7-b8b1179755f2, 62, 8058, No update data, 9g3qrwcnrssr
Bird, MEX, d642c6da-98c7-4660-8240-9a0771102dd4, 76, 10270, No update data, 9g3qrqxj96vq
Bird, MEX, 819a6a24-37a4-4b90-8b54-a633d5889317, 63, 8216, No update data, 9g3qrpmd9uyd
Bird, MEX, 46f2ec86-2e6c-4419-ac77-6141844234d9, 80, 10902, No update data, 9g3qrx4mw1pe
Bird, MEX, a83f7524-da04-49b5-88d9-26807e17d377, 82, 11218, No update data, 9g3qrqdh0j8d
Bird, MEX, 26dbf510-8bff-4540-b7d8-6fbed385c205, 39, 4424, No update data, 9g3qrnzs85bk
Bird, MEX, e9000087-8fd2-4890-a514-81f38ba80989, 65, 8532, No update data, 9g3qrx4mnuyp
Bird, MEX, 87ef05bd-62db-4ec8-90e2-05972157b477, 53, 6636, No update data, 9g3qrq8yr4gg
Bird, MEX, 41cebaeb-ecab-4eef-9c2b-e67bbe03a6e4, 47, 5688, No update data, 9g3qx8suw49w
Bird, MEX, 9f5341c6-cd6e-42cc-b230-577c6091fcc7, 90, 12482, No update data, 9g3qrwcmvjhy
Bird, MEX, 1ee83157-0748-45da-b8d1-2f3ee2b2ce62, 94, 13114, No update data, 9g3qx1kxbukg
Bird, MEX, 67e94c15-d8eb-4fcb-95d2-c4c03ea662bd, 65, 8532, No update data, 9g3qx8syx454
Bird, MEX, afa8c2d3-670e-4802-bb16-b179c54e35fa, 56, 7110, No update data, 9g3qx8huuy1t
Bird, MEX, 4e030ce3-c5f7-4106-a948-3499d53643a7, 49, 6346, No update data, 9g3qrqx4y4xw
Bird, MEX, 0ddf6bec-2283-4c1e-9cce-cc999bf696ad, 42, 4898, No update data, 9g3qrx4u79yy
Bird, MEX, 80286e73-9030-477e-aa8c-1e9e25825ab6, 49, 6004, No update data, 9g3qrqw2e9xy
Bird, MEX, bf956252-d541-4d7d-a779-dcb1d9327ce8, 48, 5846, No update data, 9g3qrpktrmnf
Bird, MEX, d9b56c10-87ba-488a-b6d2-dd4365adff26, 78, 10586, No update data, 9g3qrx42keg6
Bird, MEX, 57e55568-8554-49b1-8386-3dded19443c4, 48, 5846, No update data, 9g3qrx4gu78m
